split,relation,depth_mode,depth_bucket,count,fraction_within_relation,relation_train_frequency
test,concept:agentcompeteswithagent,undirected,2,8,0.14814814814814814,198
test,concept:agentcompeteswithagent,undirected,3,13,0.24074074074074073,198
test,concept:agentcompeteswithagent,undirected,4,7,0.12962962962962962,198
test,concept:agentcompeteswithagent,undirected,>4_or_unreachable,14,0.25925925925925924,198
test,concept:agentcompeteswithagent,undirected,self_loop,1,0.018518518518518517,198
test,concept:agentcontributedtocreativework,undirected,1,3,0.375,173
test,concept:agentcontributedtocreativework,undirected,3,1,0.125,173
test,concept:agentcontributedtocreativework,undirected,>4_or_unreachable,4,0.5,173
test,concept:agentcontrols,undirected,1,16,0.34782608695652173,293
test,concept:agentcontrols,undirected,2,2,0.043478260869565216,293
test,concept:agentcontrols,undirected,3,12,0.2608695652173913,293
test,concept:agentcontrols,undirected,4,4,0.08695652173913043,293
test,concept:agentcontrols,undirected,>4_or_unreachable,12,0.2608695652173913,293
test,concept:agentcreated,undirected,1,21,0.3620689655172414,764
test,concept:agentcreated,undirected,2,1,0.017241379310344827,764
test,concept:agentcreated,undirected,3,8,0.13793103448275862,764
test,concept:agentcreated,undirected,4,6,0.10344827586206896,764
test,concept:agentcreated,undirected,>4_or_unreachable,22,0.3793103448275862,764
test,concept:agentinvolvedwithitem,undirected,2,1,0.02631578947368421,211
test,concept:agentinvolvedwithitem,undirected,3,12,0.3157894736842105,211
test,concept:agentinvolvedwithitem,undirected,4,7,0.18421052631578946,211
test,concept:agentinvolvedwithitem,undirected,>4_or_unreachable,18,0.47368421052631576,211
test,concept:agentparticipatedinevent,undirected,2,5,0.09615384615384616,229
test,concept:agentparticipatedinevent,undirected,3,27,0.5192307692307693,229
test,concept:agentparticipatedinevent,undirected,4,6,0.11538461538461539,229
test,concept:agentparticipatedinevent,undirected,>4_or_unreachable,14,0.2692307692307692,229
test,concept:agriculturalproductcamefromcountry,undirected,3,8,0.5333333333333333,21
test,concept:agriculturalproductcamefromcountry,undirected,4,4,0.26666666666666666,21
test,concept:agriculturalproductcamefromcountry,undirected,>4_or_unreachable,3,0.2,21
test,concept:agriculturalproductcomingfromvertebrate,undirected,4,1,0.5,71
test,concept:agriculturalproductcomingfromvertebrate,undirected,>4_or_unreachable,1,0.5,71
test,concept:agriculturalproductcontainchemical,undirected,2,1,0.07692307692307693,44
test,concept:agriculturalproductcontainchemical,undirected,4,2,0.15384615384615385,44
test,concept:agriculturalproductcontainchemical,undirected,>4_or_unreachable,10,0.7692307692307693,44
test,concept:agriculturalproductcookedwithagriculturalproduct,undirected,1,8,0.12121212121212122,214
test,concept:agriculturalproductcookedwithagriculturalproduct,undirected,2,22,0.3333333333333333,214
test,concept:agriculturalproductcookedwithagriculturalproduct,undirected,3,24,0.36363636363636365,214
test,concept:agriculturalproductcookedwithagriculturalproduct,undirected,4,5,0.07575757575757576,214
test,concept:agriculturalproductcookedwithagriculturalproduct,undirected,>4_or_unreachable,7,0.10606060606060606,214
test,concept:agriculturalproductcutintogeometricshape,undirected,2,3,0.3333333333333333,41
test,concept:agriculturalproductcutintogeometricshape,undirected,3,4,0.4444444444444444,41
test,concept:agriculturalproductcutintogeometricshape,undirected,>4_or_unreachable,2,0.2222222222222222,41
test,concept:agriculturalproductgrowinginstateorprovince,undirected,3,2,0.4,15
test,concept:agriculturalproductgrowinginstateorprovince,undirected,4,1,0.2,15
test,concept:agriculturalproductgrowinginstateorprovince,undirected,>4_or_unreachable,2,0.4,15
test,concept:agriculturalproductgrowninlandscapefeatures,undirected,>4_or_unreachable,1,1.0,25
test,concept:agriculturalproductincludingagriculturalproduct,undirected,2,1,0.05263157894736842,73
test,concept:agriculturalproductincludingagriculturalproduct,undirected,3,2,0.10526315789473684,73
test,concept:agriculturalproductincludingagriculturalproduct,undirected,4,4,0.21052631578947367,73
test,concept:agriculturalproductincludingagriculturalproduct,undirected,>4_or_unreachable,12,0.631578947368421,73
test,concept:agriculturalproducttoattractinsect,undirected,1,1,0.1111111111111111,28
test,concept:agriculturalproducttoattractinsect,undirected,2,3,0.3333333333333333,28
test,concept:agriculturalproducttoattractinsect,undirected,3,4,0.4444444444444444,28
test,concept:agriculturalproducttoattractinsect,undirected,4,1,0.1111111111111111,28
test,concept:airportincity,undirected,1,3,1.0,62
test,concept:animaldevelopdisease,undirected,2,1,0.04,119
test,concept:animaldevelopdisease,undirected,3,8,0.32,119
test,concept:animaldevelopdisease,undirected,4,2,0.08,119
test,concept:animaldevelopdisease,undirected,>4_or_unreachable,14,0.56,119
test,concept:animaleatfood,undirected,3,2,0.3333333333333333,118
test,concept:animaleatfood,undirected,4,3,0.5,118
test,concept:animaleatfood,undirected,>4_or_unreachable,1,0.16666666666666666,118
test,concept:animaleatvegetable,undirected,2,1,0.125,44
test,concept:animaleatvegetable,undirected,3,4,0.5,44
test,concept:animaleatvegetable,undirected,4,1,0.125,44
test,concept:animaleatvegetable,undirected,>4_or_unreachable,2,0.25,44
test,concept:animalistypeofanimal,undirected,1,19,0.24675324675324675,280
test,concept:animalistypeofanimal,undirected,2,17,0.22077922077922077,280
test,concept:animalistypeofanimal,undirected,3,32,0.4155844155844156,280
test,concept:animalistypeofanimal,undirected,4,8,0.1038961038961039,280
test,concept:animalistypeofanimal,undirected,>4_or_unreachable,1,0.012987012987012988,280
test,concept:animalpreyson,undirected,1,29,0.3411764705882353,257
test,concept:animalpreyson,undirected,2,27,0.3176470588235294,257
test,concept:animalpreyson,undirected,3,23,0.27058823529411763,257
test,concept:animalpreyson,undirected,4,3,0.03529411764705882,257
test,concept:animalpreyson,undirected,>4_or_unreachable,2,0.023529411764705882,257
test,concept:animalpreyson,undirected,self_loop,1,0.011764705882352941,257
test,concept:animalsuchasfish,undirected,1,1,0.1,61
test,concept:animalsuchasfish,undirected,3,2,0.2,61
test,concept:animalsuchasfish,undirected,>4_or_unreachable,7,0.7,61
test,concept:animalsuchasinsect,undirected,1,8,0.32,90
test,concept:animalsuchasinsect,undirected,2,12,0.48,90
test,concept:animalsuchasinsect,undirected,3,5,0.2,90
test,concept:animalsuchasinvertebrate,undirected,1,5,0.3125,45
test,concept:animalsuchasinvertebrate,undirected,2,2,0.125,45
test,concept:animalsuchasinvertebrate,undirected,3,5,0.3125,45
test,concept:animalsuchasinvertebrate,undirected,4,2,0.125,45
test,concept:animalsuchasinvertebrate,undirected,>4_or_unreachable,2,0.125,45
test,concept:animalthatfeedoninsect,undirected,1,13,0.3939393939393939,59
test,concept:animalthatfeedoninsect,undirected,2,13,0.3939393939393939,59
test,concept:animalthatfeedoninsect,undirected,3,5,0.15151515151515152,59
test,concept:animalthatfeedoninsect,undirected,4,2,0.06060606060606061,59
test,concept:arterycalledartery,undirected,1,2,0.4,47
test,concept:arterycalledartery,undirected,2,1,0.2,47
test,concept:arterycalledartery,undirected,3,2,0.4,47
test,concept:arthropodandotherarthropod,undirected,1,10,0.5,51
test,concept:arthropodandotherarthropod,undirected,2,6,0.3,51
test,concept:arthropodandotherarthropod,undirected,3,2,0.1,51
test,concept:arthropodandotherarthropod,undirected,4,1,0.05,51
test,concept:arthropodandotherarthropod,undirected,>4_or_unreachable,1,0.05,51
test,concept:arthropodcalledarthropod,undirected,1,10,0.45454545454545453,62
test,concept:arthropodcalledarthropod,undirected,2,6,0.2727272727272727,62
test,concept:arthropodcalledarthropod,undirected,3,3,0.13636363636363635,62
test,concept:arthropodcalledarthropod,undirected,4,1,0.045454545454545456,62
test,concept:arthropodcalledarthropod,undirected,>4_or_unreachable,2,0.09090909090909091,62
test,concept:atdate,undirected,2,30,0.03464203233256351,2535
test,concept:atdate,undirected,3,758,0.8752886836027713,2535
test,concept:atdate,undirected,4,39,0.04503464203233257,2535
test,concept:atdate,undirected,>4_or_unreachable,39,0.04503464203233257,2535
test,concept:athletebeatathlete,undirected,1,1,0.1,26
test,concept:athletebeatathlete,undirected,3,4,0.4,26
test,concept:athletebeatathlete,undirected,4,1,0.1,26
test,concept:athletebeatathlete,undirected,>4_or_unreachable,4,0.4,26
test,concept:athleteflyouttosportsteamposition,undirected,3,26,0.8666666666666667,143
test,concept:athleteflyouttosportsteamposition,undirected,4,3,0.1,143
test,concept:athleteflyouttosportsteamposition,undirected,>4_or_unreachable,1,0.03333333333333333,143
test,concept:athletehomestadium,undirected,2,4,0.36363636363636365,87
test,concept:athletehomestadium,undirected,3,2,0.18181818181818182,87
test,concept:athletehomestadium,undirected,4,3,0.2727272727272727,87
test,concept:athletehomestadium,undirected,>4_or_unreachable,2,0.18181818181818182,87
test,concept:athleteinjuredhisbodypart,undirected,3,2,0.18181818181818182,34
test,concept:athleteinjuredhisbodypart,undirected,4,1,0.09090909090909091,34
test,concept:athleteinjuredhisbodypart,undirected,>4_or_unreachable,8,0.7272727272727273,34
test,concept:athleteledsportsteam,undirected,1,2,0.15384615384615385,66
test,concept:athleteledsportsteam,undirected,2,1,0.07692307692307693,66
test,concept:athleteledsportsteam,undirected,4,5,0.38461538461538464,66
test,concept:athleteledsportsteam,undirected,>4_or_unreachable,5,0.38461538461538464,66
test,concept:athleteplaysforteam,undirected,1,1,0.041666666666666664,128
test,concept:athleteplaysforteam,undirected,2,2,0.08333333333333333,128
test,concept:athleteplaysforteam,undirected,3,10,0.4166666666666667,128
test,concept:athleteplaysforteam,undirected,4,8,0.3333333333333333,128
test,concept:athleteplaysforteam,undirected,>4_or_unreachable,3,0.125,128
test,concept:athleteplaysinleague,undirected,2,1,0.037037037037037035,136
test,concept:athleteplaysinleague,undirected,3,20,0.7407407407407407,136
test,concept:athleteplaysinleague,undirected,4,2,0.07407407407407407,136
test,concept:athleteplaysinleague,undirected,>4_or_unreachable,4,0.14814814814814814,136
test,concept:athleteplayssport,undirected,2,1,0.043478260869565216,227
test,concept:athleteplayssport,undirected,3,15,0.6521739130434783,227
test,concept:athleteplayssport,undirected,4,3,0.13043478260869565,227
test,concept:athleteplayssport,undirected,>4_or_unreachable,4,0.17391304347826086,227
test,concept:athleteplayssportsteamposition,undirected,3,1,0.14285714285714285,32
test,concept:athleteplayssportsteamposition,undirected,4,1,0.14285714285714285,32
test,concept:athleteplayssportsteamposition,undirected,>4_or_unreachable,5,0.7142857142857143,32
test,concept:athletewinsawardtrophytournament,undirected,3,1,0.16666666666666666,25
test,concept:athletewinsawardtrophytournament,undirected,4,3,0.5,25
test,concept:athletewinsawardtrophytournament,undirected,>4_or_unreachable,2,0.3333333333333333,25
test,concept:atlocation,undirected,1,14,0.112,738
test,concept:atlocation,undirected,2,2,0.016,738
test,concept:atlocation,undirected,3,72,0.576,738
test,concept:atlocation,undirected,4,13,0.104,738
test,concept:atlocation,undirected,>4_or_unreachable,24,0.192,738
test,concept:attractionofcity,undirected,1,1,1.0,60
test,concept:automakerproducesmodel,undirected,1,1,0.14285714285714285,56
test,concept:automakerproducesmodel,undirected,3,3,0.42857142857142855,56
test,concept:automakerproducesmodel,undirected,>4_or_unreachable,3,0.42857142857142855,56
test,concept:automobilemakercardealersinstateorprovince,undirected,3,3,0.5,26
test,concept:automobilemakercardealersinstateorprovince,undirected,4,3,0.5,26
test,concept:automobilemakerdealersincity,undirected,2,1,0.06666666666666667,46
test,concept:automobilemakerdealersincity,undirected,3,7,0.4666666666666667,46
test,concept:automobilemakerdealersincity,undirected,4,3,0.2,46
test,concept:automobilemakerdealersincity,undirected,>4_or_unreachable,4,0.26666666666666666,46
test,concept:automobilemakerdealersincountry,undirected,3,4,0.5,16
test,concept:automobilemakerdealersincountry,undirected,4,3,0.375,16
test,concept:automobilemakerdealersincountry,undirected,>4_or_unreachable,1,0.125,16
test,concept:awardtrophytournamentisthechampionshipgameofthenationalsport,undirected,3,2,1.0,19
test,concept:bacteriaisthecausativeagentofphysiologicalcondition,undirected,3,1,0.5,78
test,concept:bacteriaisthecausativeagentofphysiologicalcondition,undirected,>4_or_unreachable,1,0.5,78
test,concept:bakedgoodservedwithbeverage,undirected,3,4,0.2222222222222222,105
test,concept:bakedgoodservedwithbeverage,undirected,4,2,0.1111111111111111,105
test,concept:bakedgoodservedwithbeverage,undirected,>4_or_unreachable,12,0.6666666666666666,105
test,concept:bankbankincountry,undirected,2,1,0.04,82
test,concept:bankbankincountry,undirected,3,19,0.76,82
test,concept:bankbankincountry,undirected,4,2,0.08,82
test,concept:bankbankincountry,undirected,>4_or_unreachable,3,0.12,82
test,concept:bankboughtbank,undirected,2,1,0.3333333333333333,20
test,concept:bankboughtbank,undirected,3,1,0.3333333333333333,20
test,concept:bankboughtbank,undirected,>4_or_unreachable,1,0.3333333333333333,20
test,concept:beveragecontainsprotein,undirected,3,1,1.0,10
test,concept:beveragemadefrombeverage,undirected,2,4,0.3076923076923077,94
test,concept:beveragemadefrombeverage,undirected,3,3,0.23076923076923078,94
test,concept:beveragemadefrombeverage,undirected,4,3,0.23076923076923078,94
test,concept:beveragemadefrombeverage,undirected,>4_or_unreachable,3,0.23076923076923078,94
test,concept:bodypartcontainsbodypart,undirected,1,8,0.22857142857142856,241
test,concept:bodypartcontainsbodypart,undirected,2,9,0.2571428571428571,241
test,concept:bodypartcontainsbodypart,undirected,3,10,0.2857142857142857,241
test,concept:bodypartcontainsbodypart,undirected,4,5,0.14285714285714285,241
test,concept:bodypartcontainsbodypart,undirected,>4_or_unreachable,3,0.08571428571428572,241
test,concept:bookwriter,undirected,1,15,0.6,351
test,concept:bookwriter,undirected,3,1,0.04,351
test,concept:bookwriter,undirected,>4_or_unreachable,9,0.36,351
test,concept:buildingfeaturemadefrombuildingmaterial,undirected,4,1,0.3333333333333333,27
test,concept:buildingfeaturemadefrombuildingmaterial,undirected,>4_or_unreachable,2,0.6666666666666666,27
test,concept:buildinglocatedincity,undirected,1,4,0.5714285714285714,99
test,concept:buildinglocatedincity,undirected,3,1,0.14285714285714285,99
test,concept:buildinglocatedincity,undirected,>4_or_unreachable,2,0.2857142857142857,99
test,concept:ceoof,undirected,1,9,0.8181818181818182,53
test,concept:ceoof,undirected,>4_or_unreachable,2,0.18181818181818182,53
test,concept:chemicalistypeofchemical,undirected,1,5,0.06493506493506493,290
test,concept:chemicalistypeofchemical,undirected,2,27,0.35064935064935066,290
test,concept:chemicalistypeofchemical,undirected,3,28,0.36363636363636365,290
test,concept:chemicalistypeofchemical,undirected,4,9,0.11688311688311688,290
test,concept:chemicalistypeofchemical,undirected,>4_or_unreachable,8,0.1038961038961039,290
test,concept:cityalsoknownas,undirected,1,2,0.3333333333333333,20
test,concept:cityalsoknownas,undirected,2,1,0.16666666666666666,20
test,concept:cityalsoknownas,undirected,4,1,0.16666666666666666,20
test,concept:cityalsoknownas,undirected,>4_or_unreachable,2,0.3333333333333333,20
test,concept:citycapitalofcountry,undirected,1,4,0.8,24
test,concept:citycapitalofcountry,undirected,4,1,0.2,24
test,concept:cityliesonriver,undirected,3,3,0.10344827586206896,232
test,concept:cityliesonriver,undirected,4,3,0.10344827586206896,232
test,concept:cityliesonriver,undirected,>4_or_unreachable,23,0.7931034482758621,232
test,concept:citylocatedincountry,undirected,1,4,0.3076923076923077,92
test,concept:citylocatedincountry,undirected,3,3,0.23076923076923078,92
test,concept:citylocatedincountry,undirected,4,2,0.15384615384615385,92
test,concept:citylocatedincountry,undirected,>4_or_unreachable,4,0.3076923076923077,92
test,concept:citylocatedingeopoliticallocation,undirected,2,2,0.5,38
test,concept:citylocatedingeopoliticallocation,undirected,4,1,0.25,38
test,concept:citylocatedingeopoliticallocation,undirected,>4_or_unreachable,1,0.25,38
test,concept:citylocatedinstate,undirected,1,3,0.13043478260869565,132
test,concept:citylocatedinstate,undirected,2,1,0.043478260869565216,132
test,concept:citylocatedinstate,undirected,3,6,0.2608695652173913,132
test,concept:citylocatedinstate,undirected,4,5,0.21739130434782608,132
test,concept:citylocatedinstate,undirected,>4_or_unreachable,8,0.34782608695652173,132
test,concept:clothingmadefromplant,undirected,2,1,0.25,15
test,concept:clothingmadefromplant,undirected,4,2,0.5,15
test,concept:clothingmadefromplant,undirected,>4_or_unreachable,1,0.25,15
test,concept:clothingtogowithclothing,undirected,1,32,0.23703703703703705,361
test,concept:clothingtogowithclothing,undirected,2,59,0.43703703703703706,361
test,concept:clothingtogowithclothing,undirected,3,38,0.2814814814814815,361
test,concept:clothingtogowithclothing,undirected,4,4,0.02962962962962963,361
test,concept:clothingtogowithclothing,undirected,>4_or_unreachable,2,0.014814814814814815,361
test,concept:coachesinleague,undirected,3,2,1.0,13
test,concept:coachesteam,undirected,1,1,0.2,20
test,concept:coachesteam,undirected,>4_or_unreachable,4,0.8,20
test,concept:coachwontrophy,undirected,3,8,0.5714285714285714,65
test,concept:coachwontrophy,undirected,4,3,0.21428571428571427,65
test,concept:coachwontrophy,undirected,>4_or_unreachable,3,0.21428571428571427,65
test,concept:companyalsoknownas,undirected,2,2,0.6666666666666666,29
test,concept:companyalsoknownas,undirected,4,1,0.3333333333333333,29
test,concept:companyeconomicsector,undirected,2,3,0.1,197
test,concept:companyeconomicsector,undirected,3,7,0.23333333333333334,197
test,concept:companyeconomicsector,undirected,>4_or_unreachable,20,0.6666666666666666,197
test,concept:competeswith,undirected,1,9,0.20930232558139536,199
test,concept:competeswith,undirected,2,3,0.06976744186046512,199
test,concept:competeswith,undirected,3,10,0.23255813953488372,199
test,concept:competeswith,undirected,4,8,0.18604651162790697,199
test,concept:competeswith,undirected,>4_or_unreachable,13,0.3023255813953488,199
test,concept:conceptprerequisiteof,undirected,>4_or_unreachable,8,1.0,68
test,concept:countryalsoknownas,undirected,1,3,0.11538461538461539,90
test,concept:countryalsoknownas,undirected,2,7,0.2692307692307692,90
test,concept:countryalsoknownas,undirected,3,11,0.4230769230769231,90
test,concept:countryalsoknownas,undirected,4,2,0.07692307692307693,90
test,concept:countryalsoknownas,undirected,>4_or_unreachable,3,0.11538461538461539,90
test,concept:countrycurrency,undirected,2,1,0.1111111111111111,27
test,concept:countrycurrency,undirected,3,3,0.3333333333333333,27
test,concept:countrycurrency,undirected,4,1,0.1111111111111111,27
test,concept:countrycurrency,undirected,>4_or_unreachable,4,0.4444444444444444,27
test,concept:countrylocatedingeopoliticallocation,undirected,1,3,0.06666666666666667,139
test,concept:countrylocatedingeopoliticallocation,undirected,2,10,0.2222222222222222,139
test,concept:countrylocatedingeopoliticallocation,undirected,3,19,0.4222222222222222,139
test,concept:countrylocatedingeopoliticallocation,undirected,4,5,0.1111111111111111,139
test,concept:countrylocatedingeopoliticallocation,undirected,>4_or_unreachable,8,0.17777777777777778,139
test,concept:drughassideeffect,undirected,3,3,0.2727272727272727,152
test,concept:drughassideeffect,undirected,>4_or_unreachable,8,0.7272727272727273,152
test,concept:drugpossiblytreatsphysiologicalcondition,undirected,3,1,0.16666666666666666,50
test,concept:drugpossiblytreatsphysiologicalcondition,undirected,4,1,0.16666666666666666,50
test,concept:drugpossiblytreatsphysiologicalcondition,undirected,>4_or_unreachable,4,0.6666666666666666,50
test,concept:drugworkedonbyagent,undirected,3,2,0.3333333333333333,116
test,concept:drugworkedonbyagent,undirected,>4_or_unreachable,4,0.6666666666666666,116
test,concept:emotionassociatedwithdisease,undirected,>4_or_unreachable,12,1.0,51
test,concept:fatherofperson,undirected,>4_or_unreachable,3,1.0,25
test,concept:fishservedwithfood,undirected,3,2,0.4,37
test,concept:fishservedwithfood,undirected,4,1,0.2,37
test,concept:fishservedwithfood,undirected,>4_or_unreachable,2,0.4,37
test,concept:foodcancausedisease,undirected,3,1,0.09090909090909091,29
test,concept:foodcancausedisease,undirected,4,1,0.09090909090909091,29
test,concept:foodcancausedisease,undirected,>4_or_unreachable,9,0.8181818181818182,29
test,concept:fooddecreasestheriskofdisease,undirected,3,2,0.18181818181818182,58
test,concept:fooddecreasestheriskofdisease,undirected,4,2,0.18181818181818182,58
test,concept:fooddecreasestheriskofdisease,undirected,>4_or_unreachable,7,0.6363636363636364,58
test,concept:furniturefoundinroom,undirected,3,61,0.8243243243243243,356
test,concept:furniturefoundinroom,undirected,>4_or_unreachable,13,0.17567567567567569,356
test,concept:hashusband,undirected,>4_or_unreachable,1,1.0,19
test,concept:hasofficeincity,undirected,1,2,0.03225806451612903,248
test,concept:hasofficeincity,undirected,2,1,0.016129032258064516,248
test,concept:hasofficeincity,undirected,3,35,0.5645161290322581,248
test,concept:hasofficeincity,undirected,4,6,0.0967741935483871,248
test,concept:hasofficeincity,undirected,>4_or_unreachable,18,0.2903225806451613,248
test,concept:hasofficeincountry,undirected,1,2,0.07142857142857142,66
test,concept:hasofficeincountry,undirected,2,3,0.10714285714285714,66
test,concept:hasofficeincountry,undirected,3,17,0.6071428571428571,66
test,concept:hasofficeincountry,undirected,>4_or_unreachable,6,0.21428571428571427,66
test,concept:hassibling,undirected,>4_or_unreachable,2,1.0,13
test,concept:hasspouse,undirected,1,4,0.8,104
test,concept:hasspouse,undirected,4,1,0.2,104
test,concept:haswife,undirected,1,1,1.0,37
test,concept:headquarteredin,undirected,2,2,0.15384615384615385,62
test,concept:headquarteredin,undirected,3,3,0.23076923076923078,62
test,concept:headquarteredin,undirected,>4_or_unreachable,8,0.6153846153846154,62
test,concept:hobbiessuchashobbies,undirected,>4_or_unreachable,4,1.0,29
test,concept:invertebratefeedonfood,undirected,2,4,0.4444444444444444,32
test,concept:invertebratefeedonfood,undirected,3,3,0.3333333333333333,32
test,concept:invertebratefeedonfood,undirected,4,2,0.2222222222222222,32
test,concept:ismultipleof,undirected,3,2,1.0,20
test,concept:istallerthan,undirected,2,1,0.1,51
test,concept:istallerthan,undirected,3,8,0.8,51
test,concept:istallerthan,undirected,4,1,0.1,51
test,concept:itemfoundinroom,undirected,1,4,0.046511627906976744,424
test,concept:itemfoundinroom,undirected,3,54,0.627906976744186,424
test,concept:itemfoundinroom,undirected,>4_or_unreachable,28,0.32558139534883723,424
test,concept:journalistwritesforpublication,undirected,1,1,0.047619047619047616,214
test,concept:journalistwritesforpublication,undirected,2,1,0.047619047619047616,214
test,concept:journalistwritesforpublication,undirected,3,15,0.7142857142857143,214
test,concept:journalistwritesforpublication,undirected,4,1,0.047619047619047616,214
test,concept:journalistwritesforpublication,undirected,>4_or_unreachable,3,0.14285714285714285,214
test,concept:languageofcountry,undirected,2,1,0.05555555555555555,62
test,concept:languageofcountry,undirected,3,8,0.4444444444444444,62
test,concept:languageofcountry,undirected,4,6,0.3333333333333333,62
test,concept:languageofcountry,undirected,>4_or_unreachable,3,0.16666666666666666,62
test,concept:languageofuniversity,undirected,3,1,0.125,71
test,concept:languageofuniversity,undirected,>4_or_unreachable,7,0.875,71
test,concept:leaguestadiums,undirected,2,1,0.1111111111111111,46
test,concept:leaguestadiums,undirected,3,4,0.4444444444444444,46
test,concept:leaguestadiums,undirected,4,1,0.1111111111111111,46
test,concept:leaguestadiums,undirected,>4_or_unreachable,3,0.3333333333333333,46
test,concept:locationlocatedwithinlocation,undirected,1,10,0.136986301369863,359
test,concept:locationlocatedwithinlocation,undirected,2,8,0.1095890410958904,359
test,concept:locationlocatedwithinlocation,undirected,3,35,0.4794520547945205,359
test,concept:locationlocatedwithinlocation,undirected,4,8,0.1095890410958904,359
test,concept:locationlocatedwithinlocation,undirected,>4_or_unreachable,12,0.1643835616438356,359
test,concept:mammalsuchasmammal,undirected,1,5,0.29411764705882354,68
test,concept:mammalsuchasmammal,undirected,2,4,0.23529411764705882,68
test,concept:mammalsuchasmammal,undirected,3,6,0.35294117647058826,68
test,concept:mammalsuchasmammal,undirected,4,1,0.058823529411764705,68
test,concept:mammalsuchasmammal,undirected,>4_or_unreachable,1,0.058823529411764705,68
test,concept:motherofperson,undirected,1,1,0.3333333333333333,9
test,concept:motherofperson,undirected,3,1,0.3333333333333333,9
test,concept:motherofperson,undirected,>4_or_unreachable,1,0.3333333333333333,9
test,concept:museumincity,undirected,4,1,1.0,16
test,concept:musicartistgenre,undirected,2,1,0.09090909090909091,132
test,concept:musicartistgenre,undirected,3,2,0.18181818181818182,132
test,concept:musicartistgenre,undirected,4,2,0.18181818181818182,132
test,concept:musicartistgenre,undirected,>4_or_unreachable,6,0.5454545454545454,132
test,concept:musicgenressuchasmusicgenres,undirected,2,1,0.2,27
test,concept:musicgenressuchasmusicgenres,undirected,3,2,0.4,27
test,concept:musicgenressuchasmusicgenres,undirected,>4_or_unreachable,2,0.4,27
test,concept:musicianinmusicartist,undirected,3,1,0.25,98
test,concept:musicianinmusicartist,undirected,>4_or_unreachable,3,0.75,98
test,concept:musicianplaysinstrument,undirected,3,3,0.2727272727272727,125
test,concept:musicianplaysinstrument,undirected,>4_or_unreachable,8,0.7272727272727273,125
test,concept:mutualproxyfor,undirected,1,38,0.3838383838383838,586
test,concept:mutualproxyfor,undirected,2,3,0.030303030303030304,586
test,concept:mutualproxyfor,undirected,3,31,0.31313131313131315,586
test,concept:mutualproxyfor,undirected,4,12,0.12121212121212122,586
test,concept:mutualproxyfor,undirected,>4_or_unreachable,15,0.15151515151515152,586
test,concept:newspaperincity,undirected,1,1,0.25,23
test,concept:newspaperincity,undirected,3,1,0.25,23
test,concept:newspaperincity,undirected,>4_or_unreachable,2,0.5,23
test,concept:objectfoundinscene,undirected,>4_or_unreachable,2,1.0,27
test,concept:objectpartofobject,undirected,>4_or_unreachable,1,1.0,35
test,concept:organizationacronymhasname,undirected,3,1,0.3333333333333333,61
test,concept:organizationacronymhasname,undirected,4,2,0.6666666666666666,61
test,concept:organizationalsoknownas,undirected,1,6,0.5454545454545454,35
test,concept:organizationalsoknownas,undirected,2,1,0.09090909090909091,35
test,concept:organizationalsoknownas,undirected,3,2,0.18181818181818182,35
test,concept:organizationalsoknownas,undirected,4,1,0.09090909090909091,35
test,concept:organizationalsoknownas,undirected,>4_or_unreachable,1,0.09090909090909091,35
test,concept:organizationdissolvedatdate,undirected,3,9,0.8181818181818182,30
